Month (YYYY-MM),Total (Â£),Relevant URLs (space separated)
2015-04,6000.00,https://www.darlington.gov.uk/media/4036/7_transactions_over_500_october_2017.csv
2015-05,0.00,
2015-06,0.00,
2015-07,1178.04,https://www.darlington.gov.uk/media/4026/2_transactions_over_500_may_2017.csv https://www.darlington.gov.uk/media/4030/4_transactions_over_500_july_2017.csv
2015-08,0.00,
2015-09,0.00,
2015-10,0.00,
2015-11,602.70,https://www.darlington.gov.uk/media/7587/transactions_over_500_september__2018.csv
2015-12,0.00,
2016-01,1185.65,https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv
2016-02,0.00,
2016-03,0.00,
2016-04,1851.98,https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv
2016-05,12201.96,https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/4026/2_transactions_over_500_may_2017.csv https://www.darlington.gov.uk/media/7123/transactions_over_500_july__2018.csv
2016-06,0.00,
2016-07,5359.81,https://www.darlington.gov.uk/media/4032/5_transactions_over_500_august_2017.csv
2016-08,0.00,
2016-09,20045.55,https://www.darlington.gov.uk/media/4016/transactions_over_500_may_2018.csv https://www.darlington.gov.uk/media/4026/2_transactions_over_500_may_2017.csv https://www.darlington.gov.uk/media/4028/3_transactions_over_500_june_2017.csv https://www.darlington.gov.uk/media/4030/4_transactions_over_500_july_2017.csv https://www.darlington.gov.uk/media/4039/8_transactions_over_500_november_2017.csv https://www.darlington.gov.uk/media/6934/transactions_over_500_june_2018.csv https://www.darlington.gov.uk/media/7123/transactions_over_500_july__2018.csv
2016-10,34429.09,https://www.darlington.gov.uk/media/4026/2_transactions_over_500_may_2017.csv https://www.darlington.gov.uk/media/4028/3_transactions_over_500_june_2017.csv https://www.darlington.gov.uk/media/4032/5_transactions_over_500_august_2017.csv https://www.darlington.gov.uk/media/4039/8_transactions_over_500_november_2017.csv https://www.darlington.gov.uk/media/4041/9_transactions_over_500_december_2017.csv https://www.darlington.gov.uk/media/7123/transactions_over_500_july__2018.csv
2016-11,39308.99,https://www.darlington.gov.uk/media/4026/2_transactions_over_500_may_2017.csv https://www.darlington.gov.uk/media/4028/3_transactions_over_500_june_2017.csv https://www.darlington.gov.uk/media/4030/4_transactions_over_500_july_2017.csv https://www.darlington.gov.uk/media/4032/5_transactions_over_500_august_2017.csv https://www.darlington.gov.uk/media/4036/7_transactions_over_500_october_2017.csv
2016-12,96457.99,https://www.darlington.gov.uk/media/4026/2_transactions_over_500_may_2017.csv https://www.darlington.gov.uk/media/4028/3_transactions_over_500_june_2017.csv https://www.darlington.gov.uk/media/4030/4_transactions_over_500_july_2017.csv https://www.darlington.gov.uk/media/4032/5_transactions_over_500_august_2017.csv
2017-01,63467.20,https://www.darlington.gov.uk/media/10440/transactions_over_500_november_2019.csv https://www.darlington.gov.uk/media/11701/transactions_over_500_march_2020.csv https://www.darlington.gov.uk/media/4010/10_transactions_over_500_january_2018.csv https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4016/transactions_over_500_may_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/4026/2_transactions_over_500_may_2017.csv https://www.darlington.gov.uk/media/4028/3_transactions_over_500_june_2017.csv https://www.darlington.gov.uk/media/4030/4_transactions_over_500_july_2017.csv https://www.darlington.gov.uk/media/4032/5_transactions_over_500_august_2017.csv https://www.darlington.gov.uk/media/7123/transactions_over_500_july__2018.csv https://www.darlington.gov.uk/media/7811/transactions_over_500_october__2018.csv
2017-02,340568.69,https://www.darlington.gov.uk/media/4011/10_transactions_over_500_february_2018.csv https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/4026/2_transactions_over_500_may_2017.csv https://www.darlington.gov.uk/media/4028/3_transactions_over_500_june_2017.csv https://www.darlington.gov.uk/media/4030/4_transactions_over_500_july_2017.csv https://www.darlington.gov.uk/media/4032/5_transactions_over_500_august_2017.csv https://www.darlington.gov.uk/media/4034/6_transactions_over_500_september_2017.csv https://www.darlington.gov.uk/media/4036/7_transactions_over_500_october_2017.csv https://www.darlington.gov.uk/media/4039/8_transactions_over_500_november_2017.csv
2017-03,807854.70,https://www.darlington.gov.uk/media/11613/transactions_over_500_february_2020.csv https://www.darlington.gov.uk/media/4011/10_transactions_over_500_february_2018.csv https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/4026/2_transactions_over_500_may_2017.csv https://www.darlington.gov.uk/media/4028/3_transactions_over_500_june_2017.csv https://www.darlington.gov.uk/media/4030/4_transactions_over_500_july_2017.csv https://www.darlington.gov.uk/media/4032/5_transactions_over_500_august_2017.csv https://www.darlington.gov.uk/media/4034/6_transactions_over_500_september_2017.csv https://www.darlington.gov.uk/media/4036/7_transactions_over_500_october_2017.csv https://www.darlington.gov.uk/media/4039/8_transactions_over_500_november_2017.csv https://www.darlington.gov.uk/media/4041/9_transactions_over_500_december_2017.csv https://www.darlington.gov.uk/media/8096/transactions_over_500_december_2018.csv
2017-04,3005510.50,https://www.darlington.gov.uk/media/11701/transactions_over_500_march_2020.csv https://www.darlington.gov.uk/media/4010/10_transactions_over_500_january_2018.csv https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/4026/2_transactions_over_500_may_2017.csv https://www.darlington.gov.uk/media/4028/3_transactions_over_500_june_2017.csv https://www.darlington.gov.uk/media/4030/4_transactions_over_500_july_2017.csv https://www.darlington.gov.uk/media/4032/5_transactions_over_500_august_2017.csv https://www.darlington.gov.uk/media/4034/6_transactions_over_500_september_2017.csv https://www.darlington.gov.uk/media/4036/7_transactions_over_500_october_2017.csv https://www.darlington.gov.uk/media/4039/8_transactions_over_500_november_2017.csv
2017-05,14050625.22,https://www.darlington.gov.uk/media/4011/10_transactions_over_500_february_2018.csv https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4026/2_transactions_over_500_may_2017.csv https://www.darlington.gov.uk/media/4028/3_transactions_over_500_june_2017.csv https://www.darlington.gov.uk/media/4030/4_transactions_over_500_july_2017.csv https://www.darlington.gov.uk/media/4032/5_transactions_over_500_august_2017.csv https://www.darlington.gov.uk/media/4034/6_transactions_over_500_september_2017.csv https://www.darlington.gov.uk/media/4036/7_transactions_over_500_october_2017.csv https://www.darlington.gov.uk/media/4039/8_transactions_over_500_november_2017.csv https://www.darlington.gov.uk/media/4041/9_transactions_over_500_december_2017.csv https://www.darlington.gov.uk/media/8500/transactions_over_500_february_2019.csv
2017-06,10173577.03,https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/4026/2_transactions_over_500_may_2017.csv https://www.darlington.gov.uk/media/4028/3_transactions_over_500_june_2017.csv https://www.darlington.gov.uk/media/4030/4_transactions_over_500_july_2017.csv https://www.darlington.gov.uk/media/4032/5_transactions_over_500_august_2017.csv https://www.darlington.gov.uk/media/4034/6_transactions_over_500_september_2017.csv https://www.darlington.gov.uk/media/4036/7_transactions_over_500_october_2017.csv https://www.darlington.gov.uk/media/4039/8_transactions_over_500_november_2017.csv https://www.darlington.gov.uk/media/4041/9_transactions_over_500_december_2017.csv https://www.darlington.gov.uk/media/6934/transactions_over_500_june_2018.csv https://www.darlington.gov.uk/media/7123/transactions_over_500_july__2018.csv
2017-07,10239777.48,https://www.darlington.gov.uk/media/4010/10_transactions_over_500_january_2018.csv https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4016/transactions_over_500_may_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/4028/3_transactions_over_500_june_2017.csv https://www.darlington.gov.uk/media/4030/4_transactions_over_500_july_2017.csv https://www.darlington.gov.uk/media/4032/5_transactions_over_500_august_2017.csv https://www.darlington.gov.uk/media/4034/6_transactions_over_500_september_2017.csv https://www.darlington.gov.uk/media/4036/7_transactions_over_500_october_2017.csv https://www.darlington.gov.uk/media/4039/8_transactions_over_500_november_2017.csv https://www.darlington.gov.uk/media/4041/9_transactions_over_500_december_2017.csv https://www.darlington.gov.uk/media/7332/transactions_over_500_august__2018.csv
2017-08,10817898.82,https://www.darlington.gov.uk/media/4010/10_transactions_over_500_january_2018.csv https://www.darlington.gov.uk/media/4011/10_transactions_over_500_february_2018.csv https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/4030/4_transactions_over_500_july_2017.csv https://www.darlington.gov.uk/media/4032/5_transactions_over_500_august_2017.csv https://www.darlington.gov.uk/media/4034/6_transactions_over_500_september_2017.csv https://www.darlington.gov.uk/media/4036/7_transactions_over_500_october_2017.csv https://www.darlington.gov.uk/media/4039/8_transactions_over_500_november_2017.csv https://www.darlington.gov.uk/media/4041/9_transactions_over_500_december_2017.csv https://www.darlington.gov.uk/media/6934/transactions_over_500_june_2018.csv https://www.darlington.gov.uk/media/7123/transactions_over_500_july__2018.csv https://www.darlington.gov.uk/media/8284/transactions_over_500_january_2019.csv
2017-09,9995864.28,https://www.darlington.gov.uk/media/4010/10_transactions_over_500_january_2018.csv https://www.darlington.gov.uk/media/4011/10_transactions_over_500_february_2018.csv https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4016/transactions_over_500_may_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/4026/2_transactions_over_500_may_2017.csv https://www.darlington.gov.uk/media/4032/5_transactions_over_500_august_2017.csv https://www.darlington.gov.uk/media/4034/6_transactions_over_500_september_2017.csv https://www.darlington.gov.uk/media/4036/7_transactions_over_500_october_2017.csv https://www.darlington.gov.uk/media/4039/8_transactions_over_500_november_2017.csv https://www.darlington.gov.uk/media/4041/9_transactions_over_500_december_2017.csv https://www.darlington.gov.uk/media/6934/transactions_over_500_june_2018.csv https://www.darlington.gov.uk/media/7811/transactions_over_500_october__2018.csv
2017-10,9095897.71,https://www.darlington.gov.uk/media/4010/10_transactions_over_500_january_2018.csv https://www.darlington.gov.uk/media/4011/10_transactions_over_500_february_2018.csv https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/4034/6_transactions_over_500_september_2017.csv https://www.darlington.gov.uk/media/4036/7_transactions_over_500_october_2017.csv https://www.darlington.gov.uk/media/4039/8_transactions_over_500_november_2017.csv https://www.darlington.gov.uk/media/4041/9_transactions_over_500_december_2017.csv https://www.darlington.gov.uk/media/6934/transactions_over_500_june_2018.csv https://www.darlington.gov.uk/media/7123/transactions_over_500_july__2018.csv https://www.darlington.gov.uk/media/7811/transactions_over_500_october__2018.csv https://www.darlington.gov.uk/media/7948/transactions_over_500_november__2018.csv https://www.darlington.gov.uk/media/8908/transactions_over_500_april__2019.csv
2017-11,10204637.82,https://www.darlington.gov.uk/media/11613/transactions_over_500_february_2020.csv https://www.darlington.gov.uk/media/11701/transactions_over_500_march_2020.csv https://www.darlington.gov.uk/media/4010/10_transactions_over_500_january_2018.csv https://www.darlington.gov.uk/media/4011/10_transactions_over_500_february_2018.csv https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4016/transactions_over_500_may_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/4036/7_transactions_over_500_october_2017.csv https://www.darlington.gov.uk/media/4039/8_transactions_over_500_november_2017.csv https://www.darlington.gov.uk/media/4041/9_transactions_over_500_december_2017.csv https://www.darlington.gov.uk/media/6934/transactions_over_500_june_2018.csv https://www.darlington.gov.uk/media/7332/transactions_over_500_august__2018.csv https://www.darlington.gov.uk/media/7587/transactions_over_500_september__2018.csv https://www.darlington.gov.uk/media/7811/transactions_over_500_october__2018.csv https://www.darlington.gov.uk/media/9428/transactions_over_500_july_2019.csv
2017-12,8914427.81,https://www.darlington.gov.uk/media/11613/transactions_over_500_february_2020.csv https://www.darlington.gov.uk/media/11701/transactions_over_500_march_2020.csv https://www.darlington.gov.uk/media/4010/10_transactions_over_500_january_2018.csv https://www.darlington.gov.uk/media/4011/10_transactions_over_500_february_2018.csv https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4016/transactions_over_500_may_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/4041/9_transactions_over_500_december_2017.csv https://www.darlington.gov.uk/media/6934/transactions_over_500_june_2018.csv https://www.darlington.gov.uk/media/7123/transactions_over_500_july__2018.csv https://www.darlington.gov.uk/media/7332/transactions_over_500_august__2018.csv https://www.darlington.gov.uk/media/7587/transactions_over_500_september__2018.csv https://www.darlington.gov.uk/media/7948/transactions_over_500_november__2018.csv
2018-01,8865254.41,https://www.darlington.gov.uk/media/4010/10_transactions_over_500_january_2018.csv https://www.darlington.gov.uk/media/4011/10_transactions_over_500_february_2018.csv https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4016/transactions_over_500_may_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/6934/transactions_over_500_june_2018.csv https://www.darlington.gov.uk/media/7123/transactions_over_500_july__2018.csv https://www.darlington.gov.uk/media/7332/transactions_over_500_august__2018.csv https://www.darlington.gov.uk/media/7587/transactions_over_500_september__2018.csv https://www.darlington.gov.uk/media/7948/transactions_over_500_november__2018.csv https://www.darlington.gov.uk/media/8284/transactions_over_500_january_2019.csv
2018-02,8451632.77,https://www.darlington.gov.uk/media/11613/transactions_over_500_february_2020.csv https://www.darlington.gov.uk/media/4011/10_transactions_over_500_february_2018.csv https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4016/transactions_over_500_may_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/6934/transactions_over_500_june_2018.csv https://www.darlington.gov.uk/media/7123/transactions_over_500_july__2018.csv https://www.darlington.gov.uk/media/7332/transactions_over_500_august__2018.csv https://www.darlington.gov.uk/media/7587/transactions_over_500_september__2018.csv https://www.darlington.gov.uk/media/7948/transactions_over_500_november__2018.csv https://www.darlington.gov.uk/media/8096/transactions_over_500_december_2018.csv https://www.darlington.gov.uk/media/8500/transactions_over_500_february_2019.csv https://www.darlington.gov.uk/media/8595/transactions_over_500_march_2019.csv
2018-03,8941634.05,https://www.darlington.gov.uk/media/11613/transactions_over_500_february_2020.csv https://www.darlington.gov.uk/media/4011/10_transactions_over_500_february_2018.csv https://www.darlington.gov.uk/media/4013/10_transactions_over_500_march_2018.csv https://www.darlington.gov.uk/media/4016/transactions_over_500_may_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/6934/transactions_over_500_june_2018.csv https://www.darlington.gov.uk/media/7123/transactions_over_500_july__2018.csv https://www.darlington.gov.uk/media/7332/transactions_over_500_august__2018.csv https://www.darlington.gov.uk/media/7587/transactions_over_500_september__2018.csv https://www.darlington.gov.uk/media/7811/transactions_over_500_october__2018.csv https://www.darlington.gov.uk/media/7948/transactions_over_500_november__2018.csv https://www.darlington.gov.uk/media/8500/transactions_over_500_february_2019.csv https://www.darlington.gov.uk/media/8595/transactions_over_500_march_2019.csv https://www.darlington.gov.uk/media/8908/transactions_over_500_april__2019.csv
2018-04,10558924.68,https://www.darlington.gov.uk/media/10440/transactions_over_500_november_2019.csv https://www.darlington.gov.uk/media/11613/transactions_over_500_february_2020.csv https://www.darlington.gov.uk/media/4011/10_transactions_over_500_february_2018.csv https://www.darlington.gov.uk/media/4016/transactions_over_500_may_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/6934/transactions_over_500_june_2018.csv https://www.darlington.gov.uk/media/7123/transactions_over_500_july__2018.csv https://www.darlington.gov.uk/media/7332/transactions_over_500_august__2018.csv https://www.darlington.gov.uk/media/7587/transactions_over_500_september__2018.csv https://www.darlington.gov.uk/media/7811/transactions_over_500_october__2018.csv https://www.darlington.gov.uk/media/7948/transactions_over_500_november__2018.csv https://www.darlington.gov.uk/media/8500/transactions_over_500_february_2019.csv
2018-05,9820384.66,https://www.darlington.gov.uk/media/11613/transactions_over_500_february_2020.csv https://www.darlington.gov.uk/media/4016/transactions_over_500_may_2018.csv https://www.darlington.gov.uk/media/4018/transactions_over_500_april_2018.csv https://www.darlington.gov.uk/media/6934/transactions_over_500_june_2018.csv https://www.darlington.gov.uk/media/7123/transactions_over_500_july__2018.csv https://www.darlington.gov.uk/media/7332/transactions_over_500_august__2018.csv https://www.darlington.gov.uk/media/7587/transactions_over_500_september__2018.csv https://www.darlington.gov.uk/media/7811/transactions_over_500_october__2018.csv https://www.darlington.gov.uk/media/7948/transactions_over_500_november__2018.csv https://www.darlington.gov.uk/media/8096/transactions_over_500_december_2018.csv https://www.darlington.gov.uk/media/8284/transactions_over_500_january_2019.csv https://www.darlington.gov.uk/media/8500/transactions_over_500_february_2019.csv
